Type,Title,Summary,Author,Publication Date
Nature Briefing,AI & robotics briefing: How to beat ‘superhuman’ AI,"A Go-playing algorithm that can beat the world’s best human players can be defeated by adversarial bots. Plus, a protein chatbot that designs ‘biotechnology workhorse’ molecules from scratch and how attention lets mind-reading AI see better.",Katrina Krämer,09-Jul-24
Editorial,Vaccines save lives: how can uptake be increased?,Strategies for public engagement need to be rigorously tested around the world to maximize the potential of immunization.,"N, /, A",09-Jul-24
News,Iran elects heart surgeon as president: scientists are hopeful,"Researchers say unexpected victory for Masoud Pezeshkian could spell improvements to human rights, investment in science and academic freedom — if Iran’s top leaders give him space to act.",Michele Catanzaro,09-Jul-24
News,"If bird flu sparks a human pandemic, your past immunity could help","Older populations might be more protected than younger ones because of exposure to ‘matched’ strains during childhood, but an H5N1 pandemic is likely to take a major toll all the same.",Max Kozlov,09-Jul-24
World View,"Canada just hiked PhD and postdoc pay — here’s how to get your country to do it, too","Walkouts, petitions and tweets: how a grass-roots movement led by students, postdocs and tenured academics radically changed government policy on science funding.",Kaitlin  Kharas,09-Jul-24
News Feature,How PhD students and other academics are fighting the mental-health crisis in science,Universities and institutions across the globe are exploring unique initiatives to help their students and staff cope with the stress of research.,Shannon Hall,09-Jul-24
Research Briefing,Chiral perovskites deliver spin control to a conventional semiconductor,The integration of a chiral halide perovskite semiconductor into a light-emitting diode (LED) structure made from a III–V optoelectronic semiconductor creates a spin-LED that achieves 15% circularly polarized emission at room temperature without a magnetic field — a potential boon for spintronics and other spin‑based technologies.,"N, /, A",09-Jul-24
News & Views,Ultracold molecules that interact from afar form elusive quantum state,"A gas of molecules that interact over long distances has been cooled to mere nanokelvins, resulting in the emergence of a state known as a Bose–Einstein condensate — the first of its kind in this type of molecular system.",Lauriane  Chomaz,09-Jul-24
News,Huge neutrino detector sees first hints of particles from exploding stars,Japan’s Super-Kamiokande observatory could be seeing evidence of neutrinos from supernovae across cosmic history.,Davide Castelvecchi,09-Jul-24
Nature Briefing,Daily briefing: Zircons rewrite history of plate tectonics,"Unbelievably ancient crystals suggest plate tectonics started earlier than we thought. Plus, the little-known anti-science movement that spawned a thousand conspiracies and why faecal transplants are only a ‘stepping stone’ towards better cancer treatments.",Flora Graham,09-Jul-24
Where I Work,Why I work to revive the Tasmanian tiger,Andrew Pask develops genetic sequencing techniques for marsupials — including an apex predator that was hunted to death in the twentieth century.,Margaret  Simons,08-Jul-24
Article,Hydrogen sulfide and metal-enriched atmosphere for a Jupiter-mass exoplanet,"The exoplanet HD 189733b has a metal-enriched atmosphere with the possible presence of H2O (13.4σ), CO2(11.2σ), CO (5σ) and H2S (4.5σ).","Guangwei Fu, Luis Welbanks, Matt Nixon",08-Jul-24
Article,Pathogenicity and transmissibility of bovine H5N1 influenza virus,"HPAI H5N1 virus isolated from infected cow milk is characterized in mice and ferrets, was inefficiently transmitted in ferrets, and bound to sialic acids expressed in human upper airways, showing features that may facilitate infection in mammals.","Amie J. Eisfeld, Asim Biswas, Yoshihiro Kawaoka",08-Jul-24
Article,Two-dimensional perovskitoids enhance stability in perovskite solar cells,"We find that 2D–3D perovskitoid passivation applied to perovskite solar cells impedes cation migration and decreases carrier recombination at the interface, providing enhanced operating stability at elevated temperatures and increased power conversion efficiencies.","Cheng Liu, Yi Yang, Mercouri G. Kanatzidis",08-Jul-24
Career Feature,How can I break into industry if my CV keeps disappearing into a black hole?,An application needs to stand out from the crowd and avoid being filtered out by automated hiring systems.Naturespoke to industry experts to get their tips on how to make sure your CV gets seen.,Miles Lizak,08-Jul-24
News,Scientists relieved by far-right defeat in French election — but they still face uncertainty,"With no party winning an outright majority, the vote’s implications for research are unclear.",Barbara Casassus,08-Jul-24
News,Can AI be superhuman? Flaws in top gaming bot cast doubt,"Building robust AI systems that always outperform people might be harder than thought, say researchers who studied Go-playing bots.",Matthew Hutson,08-Jul-24
News,ITER delay: what it means for nuclear fusion,"The world’s biggest fusion-energy experiment is likely to be beaten to its goals by other projects — but the massive reactor still has value, say scientists.",Elizabeth Gibney,08-Jul-24
News,COVID tsar Patrick Vallance appointed UK science minister,Labour Prime Minister Keir Starmer has placed several experts who aren’t politicians into government posts.,"Elizabeth Gibney, Sarah Wild",08-Jul-24
News,Ex-Meta scientists debut gigantic AI protein design model,EvolutionaryScale’s protein language model — among the largest AI models in biology — has created new fluorescent proteins and won big investment.,Ewen Callaway,08-Jul-24
Book Review,How conspiracies took root in our culture,"UFO hunters and anti-vaxxers might seem like modern phenomena, but they both take inspiration from a little-known anti-science movement.",Michael  Shermer,08-Jul-24
Nature Briefing,Daily briefing: 15-minute reaction turns old clothes into useful molecules,"A chemical-processing technique breaks down polyester fabrics, the world’s oldest inhabited termite mounds and a COVID tsar is named UK science minister.",Flora Graham,08-Jul-24
Career Feature,Harrowing trends: how endangered-species researchers find hope in the dark,"When data collection can be damaging, conservation scientists must balance ethical trade-offs between interference and inaction.",Nikki Forrester,08-Jul-24
Book Review,"Blooming plants and sunken cities, Books in brief",Andrew Robinson reviews five of the best science picks.,Andrew Robinson,05-Jul-24
News,What causes migraines? Study of ‘brain blackout’ offers clues,The blinding headaches are poorly understood — a mouse study suggests that the content of spinal fluid is a trigger for pain.,Miryam Naddaf,05-Jul-24
Nature Careers Podcast,“Who am I if not a scientist?” How to find identity and purpose in retirement,How do scientists define themselves when they leave paid employment after an all-consuming career in academic research?,Julie Gould,05-Jul-24
Arts Review,Kyotoreview: ‘thrilling’ play shows fight for landmark climate treaty,Drama behind the scenes at the Kyoto Protocol negotiations is laid bare in a major theatrical production.,Peter  Stott,05-Jul-24
News,UK election: scientists welcome Labour’s landslide win,"Struggling universities should be near the top of the new government’s agenda, say researchers.",Jonathan O'Callaghan,05-Jul-24
Nature Briefing,"Daily briefing: Spinal fluid causes aural migraine pain, suggests research in mice","Brain activity heralded by blind spots, flashes and other migraine ‘auras’ seems to trigger a change in cerebrospinal fluid. Plus, a ‘frog sauna’ protects against killer fungal disease and the benefits of full-body, continuous wearable ultrasound.",Flora Graham,05-Jul-24
Publisher Correction,Publisher Correction: Mental navigation in the primate entorhinal cortex,N/A,"Sujaya Neupane, Ila Fiete, Mehrdad Jazayeri",04-Jul-24
Author Correction,Author Correction: A high-performance neuroprosthesis for speech decoding and avatar control,N/A,"Sean L. Metzger, Kaylo T. Littlejohn, Edward F. Chang",04-Jul-24
Research Highlight,AI tool can pinpoint dementia’s cause — from stroke to Alzheimer’s,Algorithm that distinguishes among a host of underlying causes of dementia could be used for diagnosis in hospitals and clinics.,"N, /, A",04-Jul-24
Author Correction,Author Correction: The evolution of lung cancer and impact of subclonal selection in TRACERx,N/A,"Alexander M. Frankell, Michelle Dietzen, Charles Swanton",04-Jul-24
Nature Briefing,Daily briefing: Heavy-lift rocket restores Europe’s access to space,"After years of delays, Europe’s heavy-lift launcher Ariane 6 is scheduled for an inaugural flight next week. Plus, mysterious ancient humans hunted hyenas to thrive on top of the world and how individual brain cells encode the meaning of words.",Katrina Krämer,04-Jul-24
Outlook,Faecal transplants can treat some cancers — but probably won’t ever be widely used,"Gut microbiota could be crucial to the success or failure of immunotherapy. Donated stool might give oncologists a way to tip the balance, but the real excitement lies in what comes next.",Liam Drew,04-Jul-24
News,‘Chemical recycling’: 15-minute reaction turns old clothes into useful molecules,Fast fashion creates millions of tonnes of waste each year — could clever chemistry help to tackle the problem?,Helena Kudiabor,04-Jul-24
Career Q&A,‘All things that wander in the heavens’: how I swapped my ivory tower for the world of science fiction,Astrobiologist and writer Seven Rasmussen reflects on the craft and complexities of being a scientist-storyteller.,Fayth Tan,04-Jul-24
Comment,Give UK science the overhaul it urgently needs,"Five scholars share their science-policy priorities for the incoming government as it faces urgent challenges in tackling climate change, health, inequality and more.","Marie Claire   Brisbois, Furaha  Asani, Maria  Nedeva",04-Jul-24
News,Japan’s scientists demand more money for basic science,Petition representing hundreds of thousands of researchers in Japan calls for an increase in cash to boost competitiveness.,Anna Ikarashi,04-Jul-24
News Feature,How do you make salty water drinkable? The hunt for fresh solutions to a briny problem,"Unconventional methods for desalination could create more drinking water, help many industries to deal with problematic brines and increase lithium supplies for batteries.",XiaoZhi Lim,04-Jul-24
Author Correction,Author Correction: Chemoproteomic discovery of a covalent allosteric inhibitor of WRN helicase,N/A,"Kristen A. Baltgalvis, Kelsey N. Lamb, Todd M. Kinsella",03-Jul-24
Author Correction,Author Correction: Microglia regulate central nervous system myelin growth and integrity,N/A,"Niamh B. McNamara, David A. D. Munro, Veronique E. Miron",03-Jul-24
Research Highlight,Fake jewellery from the Stone Age looks like the real deal,"‘Amber’ beads dating to the Neolithic period, lasting from the fifth to the third millenniumBC,are actually mollusc shells coated with resin and natural pigments.","N, /, A",03-Jul-24
Article,Geographical migration and fitness dynamics ofStreptococcus pneumoniae,Mathematical modelling of 15 years of data from South Africa reveals the spread and vaccine-driven changes in fitness and antimicrobial resistance ofStreptococcus pneumoniae.,"Sophie Belman, Noémie Lefrancq, Henrik Salje",03-Jul-24
Article,Electron holography observation of individual ferrimagnetic lattice planes,The magnetic fields of an individual lattice plane inside materials with a non-uniform structure were observed under magnetic-field-free conditions by electron holography.,"Toshiaki Tanigaki, Tetsuya Akashi, Hiroyuki Shinada",03-Jul-24
Article,Molecular definition of the endogenous Toll-like receptor signalling pathways,"Myddosomes, in which MyD88 forms barrel-like scaffold structures for effector protein recruitment and activation, contain proteins that act at all stages and regulate all effector responses of the TLR signalling pathways.","Daniel Fisch, Tian Zhang, Jonathan C. Kagan",03-Jul-24
Review Article,Expanding chemistry through in vitro and in vivo biocatalysis,"This Review considers developments in enzymes, biosynthetic pathways and cellular engineering that enable their use in catalysis for new chemistry and beyond.","Elijah N. Kissman, Max B. Sosa, Michelle C. Y. Chang",03-Jul-24
Article,Giant stem tetrapod was apex predator in Gondwanan late Palaeozoic ice age,"A study describes a new giant stem tetrapod,Gaiasia jennyae, from high-palaeolatitude early Permian-aged deposits in Namibia that challenges current hypotheses of early tetrapod evolution.","Claudia A. Marsicano, Jason D. Pardo, Helke Mocke",03-Jul-24
Article,Human degradation of tropical moist forests is greater than previously estimated,A global survey on the magnitude and persistence of moist forest cover change and canopy height following degradation using satellite remote sensing data finds that the effects are substantial and persist for decades.,"C. Bourgoin, G. Ceccherini, F. Achard",03-Jul-24
Article,Targeting pericentric non-consecutive motifs for heterochromatin initiation,"Zinc-finger proteins ZNF512 and ZNF512B are shown to target pericentric DNA through a conserved mechanism that depends on their atypical long linkers, providing insight into how constitutive heterochromatin formation is initiated across various species.","Runze Ma, Yan Zhang, Bing Zhu",03-Jul-24
Article,"Narrative cave art in Indonesia by 51,200 years ago","A cave art scene at Leang Karampuang, Indonesia, dated to at least 51,200 years ago using laser-ablation uranium-series imaging, depicts human-like figures interacting with a pig.","Adhi Agus Oktaviana, Renaud Joannes-Boyau, Maxime Aubert",03-Jul-24
Article,Spike deep mutational scanning helps predict success of SARS-CoV-2 clades,"Pseudovirus-based SARS-CoV-2 spike deep mutational scanning is used to measure how mutations across the spikes affect ACE2 binding, cell entry or escape from human sera, producing data that could enable better prediction of viral evolution.","Bernadeta Dadonaite, Jack Brown, Jesse D. Bloom",03-Jul-24
Article,Dirac mass induced by optical gain and loss,"By using a photonic synthetic lattice, it can be experimentally demonstrated that Dirac masses can be induced by means of non-Hermitian perturbations based on optical gain and loss.","Letian Yu, Haoran Xue, Y. D. Chong",03-Jul-24
Article,Inhibition ofM. tuberculosisand human ATP synthase by BDQ and TBAJ-587,Cryogenic electron microscopy structures ofMycobacterium tuberculosisATP synthase and human ATP synthase bound to the anti-tuberculosis drug bedaquiline or its analogue TBAJ-587 shed light on drug binding and could lead to new treatments for tuberculosis.,"Yuying Zhang, Yuezheng Lai, Hongri Gong",03-Jul-24
Article,Evidence of striped electronic phases in a structurally modulated superlattice,Evidence of modulated metallic and superconducting states stemming from an incommensurate structural stripe motif is reported in the bulk van der Waals superlattice SrTa2S5.,"A. Devarakonda, A. Chen, J. G. Checkelsky",03-Jul-24
Article,Semantic encoding during language comprehension at single-cell resolution,"By tracking the activity of individual neurons using microarrays and Neuropixels probes, a study examines the representation of linguistic meaning, at the single-cell level, during natural speech processing in humans.","Mohsen Jamali, Benjamin Grannan, Ziv M. Williams",03-Jul-24
Article,Middle and Late Pleistocene Denisovan subsistence at Baishiya Karst Cave,"Zooarchaeological and proteomic analyses of bones from Baishiya Karst Cave on the Tibetan Plateau identify a hominin rib specimen, and provide insight into the ways Denisovans interacted with their surrounding environment and made use of animal resources.","Huan Xia, Dongju Zhang, Frido Welker",03-Jul-24
Article,Imaging tunable Luttinger liquid systems in van der Waals heterostructures,"Layer-stacking domain walls in van der Waals heterostructures form a broadly tunable Luttinger liquid system, including both isolated and coupled arrays.","Hongyuan Li, Ziyu Xiang, Feng Wang",03-Jul-24
Article,A µ-opioid receptor modulator that works cooperatively with naloxone,A newly discovered negative allosteric modulator of the µ-opioid receptor works together with naloxone to potently block opioid agonist signalling with reduced adverse effects.,"Evan S. O’Brien, Vipin Ashok Rangari, Brian K. Kobilka",03-Jul-24
Article,The cortical amygdala consolidates a socially transmitted long-term memory,Experiments in mice show that brain circuitry centred on the posteromedial nucleus of the cortical amygdala has a key role in consolidating socially transmitted long-term memories.,"Zhihui Liu, Wenfei Sun, Thomas C. Südhof",03-Jul-24
Article,NBS1 lactylation is required for efficient DNA repair and chemotherapy resistance,Lactylation of NBS1 by TIP60 promotes homologous recombination-driven DNA repair and resistance to chemotherapy in cancer cells and links altered cancer cell metabolism to increase genome stability.,"Hengxing Chen, Yun Li, Changhua Zhang",03-Jul-24
Article,Adenosine signalling to astrocytes coordinates brain metabolism and function,This study explores how adenosine A2B receptors can act as astrocytic sensors of brain metabolic activity and how cAMP signalling in astrocytes may support core brain functions such as sleep and memory.,"Shefeeq M. Theparambil, Olga Kopach, Alexander V. Gourine",03-Jul-24
Article,3D printable elastomers with exceptional strength and toughness,"Three-dimensional photo-printable resin chemistry yields an elastomer with tensile strength of 94.6  MPa and toughness of 310.4  MJ  m−3, both of which far exceed that of any three-dimensional printed elastomer.","Zizheng Fang, Hongfeng Mu, Tao Xie",03-Jul-24
Article,An anti-CRISPR that pulls apart a CRISPR–Cas complex,AcrIF25 inhibits the type I-F CRISPR–Cas system by disassembling its ribonucleoprotein effector complex without an external energy source.,"Chantel N. Trost, Jing Yang, Alan R. Davidson",03-Jul-24
Article,Observation of the scaling dimension of fractional quantum Hall anyons,The scaling dimension of fractional quantum Hall anyons shows agreement with expectations following examination of thermal-to-shot-noise crossover measurements by fitting to the predicted finite-temperature expression involving both the scaling dimension of quasiparticles and their charge.,"A. Veillon, C. Piquard, F. Pierre",03-Jul-24
Article,Kinetic features dictate sensorimotor alignment in the superior colliculus,Motor units in the superior colliculus of mice exhibit poorly defined representation of static visual fields and instead rely largely on kinetic visual features to link visual inputs to behavioural outcomes.,"Ana González-Rueda, Kristopher Jensen, Marco Tripodi",03-Jul-24
News,Powerful Ariane 6 rocket poised to restore Europe’s access to space,"After years of delays, the heavy-lift launcher is finally ready to send major scientific missions into space.",Davide Castelvecchi,03-Jul-24
News & Views,Atom-swap chemistry speeds synthesis of compounds for drug discovery,"Reactions have been discovered that selectively transform nitrogen-containing rings, called pyrimidines, into various other ring systems — enabling rapid preparation of compound libraries for pharmaceutical research.","Ángel Rentería-Gómez, Osvaldo Gutierrez",03-Jul-24
Research Briefing,Eating habits of Denisovans on the Tibetan Plateau revealed,The discovery of a rib fragment from Baishiya Karst Cave greatly extends the presence of Denisovan hominins on the Tibetan Plateau. In-depth analyses of fossilized animal bones from the same site show that Denisovans made full use of the available animal resources.,"N, /, A",03-Jul-24
News & Views,"Last year’s summer was the warmest in 2,000 years",A record spanning two millennia of Northern Hemisphere summer temperatures has revealed the extent to which 2023 was anomalously hot. The finding is a striking confirmation of warming since the pre-industrial period.,"Gabriele C. Hegerl, Katherine L. Taylor",03-Jul-24
News & Views,Fossils found far from the Equator point to globetrotting tetrapods,"Ancient specimens of a previously undescribed species of four-limbed vertebrate fill a gap in the fossil record. The evidence offers surprises about where, when and how these ancestral relatives of humans evolved.",Christian A. Sidor,03-Jul-24
World View,Is your research a trade secret? South Korean data-sharing case is a wake-up call,"As science becomes more globalized, researchers must safeguard sensitive data from inadvertent legal breaches.",WooJung Jon,03-Jul-24
Futures,Still listening,Lost in music.,Lavie Tidhar,03-Jul-24
News,How Denisovans thrived on top of the world: mysterious ancient humans’ survival secrets revealed,The cave-dwelling group hunted animals such as hyenas and hares to sustain themselves in harsh environments.,Ewen Callaway,03-Jul-24
News & Views,Opioid crisis: compound opens up potential strategy to tackle overdoses,"A compound has been discovered that increases the potency and duration of action of naloxone, a drug used to reverse the effects of opioid overdoses — possibly opening up another way to save lives.",Catherine M. Cahill,03-Jul-24
Technology Feature,Inside the maths that drives AI,"Loss functions measure algorithmic errors in artificial-intelligence models, but there’s more than one way to do that. Here’s why the right function is so important.",Michael Brooks,03-Jul-24
News,Lab-grown embryo models: UK unveils first ever rules to guide research,Countries are grappling with how to regulate research that uses stem-cell-based embryo models. They will be watching the United Kingdom’s voluntary approach.,Smriti Mallapaty,03-Jul-24
Nature Briefing,Daily briefing: Western scientists get rejected papers published faster,"Authors in Western countries are almost 6% more likely than those based in other parts of the world to successfully publish a paper after it has been rejected. Plus, why cancer risk declines sharply in old age and RNA-based pesticides promise precision killing.",Flora Graham,03-Jul-24
News & Views,Blueprints for ATP machinery will aid tuberculosis drug design,Structural insights into how anti-tuberculosis drugs interact with the enzyme that makes ATP in bacteria and humans pave the way for improved drug design to treat the disease and combat antimicrobial resistance.,"Gregory M. Cook, Matthew B. McNeil",03-Jul-24
News,Ultra-detailed brain map shows neurons that encode words’ meaning,"For the first time, scientists identify individual brain cells linked to the linguistic essence of a word.",Sara Reardon,03-Jul-24
Nature Podcast,These frog 'saunas’ could help endangered species fight off a deadly fungus,"How a hot resting spot can help frogs survive chytridiomycosis infection, and the decades-long hunt for dark matter in black holes.","Nick Petrić Howe, Benjamin Thompson",03-Jul-24
Correspondence,Streamlined collaboration can boost CRISPR gene therapies for rare diseases,N/A,"Wei He, Shuxiong Zeng, Chuanliang Xu",02-Jul-24
Research Highlight,Killer immune cells pile on the pressure to slay their foes,"Immune-system assassins called killer T cells compress target cells, forming a destructive crater.","N, /, A",02-Jul-24
Correspondence,Unchanged power dynamics still block progress for under-represented groups in academia,N/A,"Susanne Täuber, Morteza Mahmoudi",02-Jul-24
Research Highlight,Ants amputate their nest-mates’ legs to save lives,The location of an injury determines whether ants bite off or preserve a damaged limb.,"N, /, A",02-Jul-24
Correspondence,"To regain lost public trust, incorporate research ethics into graduate training",N/A,Lixin Wang,02-Jul-24
Research Highlight,The surprising driver of Amazon deforestation,Demand from Brazil itself accounts for more than half of the demand for crops and livestock from the Amazon and the savannah that surrounds it.,"N, /, A",02-Jul-24
Where I Work,I use ethnobotany to bring India’s medicinal plants into urban landscapes,"N. M. Ganesh Babu collects, studies and propagates his country’s Indigenous flora for their herbal and aesthetic qualities.",Bianca Nogrady,02-Jul-24
News & Views,Did the diarist who chronicled the Great Fire of London make up a scientific instrument?,"The mention of a ‘scotoscope’ in Samuel Pepys’s diary is a subject of scrutiny, and Americans satiate British oyster lovers, in the weekly dip intoNature’s archive.","N, /, A",02-Jul-24
Career Q&A,How Rwandan paediatrician Agnes Binagwaho fights racial stereotypes in global health,The former health minister talks about her push to transform health equity in Rwanda and calls out the concept of Western supremacy.,Abdullahi Tsanni,02-Jul-24
News,Western scientists more likely to get rejected papers published — and do it faster,"Authors from Western countries navigate the peer-review system more successfully than those from other nations, literature-tracking study suggests.",David Adam,02-Jul-24
News,Why cancer risk declines sharply in old age,New research identifies some of the genes that could help to explain why lung cancer incidence rises with age but declines after the age of 75.,Heidi Ledford,02-Jul-24
News,Spy on millions of sleeping butterflies and more — June’s best science images,"The month’s sharpest science shots, selected byNature’s photo team.","Emma Stoye, Helena Kudiabor",02-Jul-24
World View,Climate change is worsening the housing crisis — we must tackle the two together,Thousands of people are being displaced across the Arctic. Governments must listen to Indigenous and local communities and act on their advice.,Julia Christensen,02-Jul-24
Editorial,UK election: three research priorities for the next government,"Ministers must take a global view of science, address a growing crisis in university finances and put a stop to interference in research autonomy.","N, /, A",02-Jul-24
Nature Briefing,AI & robotics briefing: Pathology chatbot can diagnose disease and talk about tumours,"The pathology chatbot PathChat identifies diseases from biopsy slides better than any other AI model. Plus, ChatGPT fools university examiners and how a machine could solve a decades-old quantum paradox.",Katrina Krämer,02-Jul-24
Nature Briefing,Daily briefing: Bionic leg moves like a natural limb,"A neuronal interface allowed people using a lower-leg prosthetic to walk faster and more naturally. Plus, the hormones that drive mosquitoes’ bloodlust and how eggs in ovaries can last for decades.",Flora Graham,02-Jul-24
Comment,Neuroscientists must not be afraid to study religion,Scientists interested in the brain have tended to avoid studying religion or spirituality for fear of being seen as unscientific. That needs to change.,"Patrick McNamara, William Newsome, Jordan Grafman",02-Jul-24
News,What drives mosquitoes’ bloodlust? Their hormones,"One hormone seems to boost the insects’ thirst for a blood meal, and another shuts it down.",Gemma Conroy,01-Jul-24
News,Bionic leg moves like a natural limb — without conscious thought,"Computer interface links signals from the brain to an artificial limb, giving the wearer better balance, flexibility and speed.",Miryam Naddaf,01-Jul-24
Nature Briefing,Daily briefing: See a smiling face made of living human skin cells,"A robotic face is made from living human skin cells anchored to a ‘skeleton’ with ligament-like structures. Plus, massive old stars reveal the true nature of the Milky Way and how AI could help identify researchers with untapped innovation potential.",Flora Graham,01-Jul-24
Nature Podcast,Audio long read: How NASA astronauts are training to walk on the Moon in 2026,NASA astronauts have been performing simulated lunar exploration in Arizona to help prepare them for doing geology at the Moon's south pole.,"Alexandra Witze, Benjamin Thompson",28-Jun-24
News,Combined COVID–flu vaccines are coming: Moderna jab clears major test,First large trial suggests mRNA drug gives better protection from SARS-CoV-2 and influenza viruses than single-target shots.,Freda Kreier,28-Jun-24
Nature Briefing,Daily briefing: How obesity drugs like Ozempic create a full feeling,"The brain areas involved in the feeling of fullness experienced by people taking GLP-1 drugs. Plus, an ‘epigenome editor’ silences a gene linked to deadly brain disorders and a ‘jumping gene’ enzyme edits genomes without breaking DNA.",Flora Graham,28-Jun-24
Nature Careers Podcast,Choose your own adventure: navigating retirement after an academic career,How do you have a full and meaningful retirement? Late-career researchers and retired colleagues discuss the many options available.,Julie Gould,28-Jun-24
News,The Milky Way is ‘less weird’ than we thought,"The Galaxy’s core isn't as densely packed with stars as models suggested, a study finds, aligning it more closely with similar spiral galaxies.",Sumeet Kulkarni,28-Jun-24
Research Highlight,Smile! Living skin helps robot make a happy face,Anchors inspired by skin ligaments connect cell-based composite to robotic visage.,"N, /, A",27-Jun-24
Research Highlight,Deep-sea creatures survive crushing pressures with just the right fats,Tiny predators called comb jellies have cell-membrane lipids that form curving structures under pressure.,"N, /, A",27-Jun-24
News Feature,Five new ways to catch gravitational waves — and the secrets they’ll reveal,"Observatories, experiments and techniques are being developed to spot ripples in space-time at frequencies that currently can’t be detected.",Davide Castelvecchi,27-Jun-24
Nature Briefing,Daily briefing: How this lab became one of the most successful in the world,"Study reveals secrets of Cambridge’s Laboratory of Molecular Biology. Plus, the first 3D-model brains with cells from several people and five new ways to catch gravitational waves.",Katrina Krämer,27-Jun-24
News,‘Epigenome editor’ silences gene that causes deadly brain disorders,"Prion diseases are caused by misfolded proteins, but a new tool can stop them forming in mice.",Gemma Conroy,27-Jun-24
News,How blockbuster obesity drugs create a full feeling — even before one bite of food,"Scientists identify brain area harbouring two groups of neurons: one for pre-meal sensations of fullness, and one for post-meal satiety.",Mariana Lenharo,27-Jun-24
Technology Feature,No CRISPR: oddball ‘jumping gene’ enzyme edits genomes without breaking DNA,A programmable RNA that bridges a genetic donor and a target could herald a safer and more flexible approach to large-scale chromosome changes.,Heidi Ledford,27-Jun-24
News,Ketamine for depression: slow-release pills could make treatment more accessible,"A ketamine-containing tablet could be a convenient alternative to intravenous treatments, with fewer unpleasant side effects.",Helena Kudiabor,27-Jun-24
Retraction,Retraction Note: Microbiome analyses of blood and tissues suggest cancer diagnostic approach,N/A,"Gregory D. Poore, Evguenia Kopylova, Rob Knight",26-Jun-24
Research Highlight,Aged mice regain youthful muscles thanks to a compound that acts on the genes,"A molecule increases levels of a protein that maintains telomeres, the caps on the ends of chromosomes.","N, /, A",26-Jun-24
Book Review,Freudian scripts and sensory slips: Books in brief,Andrew Robinson reviews five of the best science picks.,Andrew Robinson,26-Jun-24
Where I Work,Digging deep for India’s water solution,Vishwanath Srikantaiah works to restore India’s historic wells to provide better protection for water resources.,Alexia Austin,26-Jun-24
Article,Chemical reservoir computation in a self-organizing reaction network,"A chemical reservoir computer based on the formose reaction has been discovered that can perform several nonlinear classification tasks in parallel, predict the dynamics of other complex systems and achieve time-series forecasting.","Mathieu G. Baltussen, Thijs J. de Jong, Wilhelm T. S. Huck",26-Jun-24
Article,Molecular basis for transposase activation by a dedicated AAA+ ATPase,Solution and cryogenic electron microscopy studies using IS21as a model transposase system show how AAA+ ATPases induce structural changes to prime target DNA and activate their associated transposases.,"Álvaro de la Gándara, Mercedes Spínola-Amilibia, Ernesto Arias-Palomo",26-Jun-24
Article,Zinc mediates control of nitrogen fixation via transcription factor filamentation,Zinc acts as a second messenger in root nodules and regulates nitrogen homeostasis by controlling the transition between the active state and the inactive filamentous state of the novel transcriptional regulator FIXATION UNDER NITRATE (FUN).,"Jieshun Lin, Peter K. Bjørk, Dugald Reid",26-Jun-24
Article,TnpB homologues exapted from transposons are RNA-guided transcription factors,"RNA-guided transcription factors arose repeatedly via the domestication of transposon-encodedtnpBgenes, representing a parallel evolutionary path to CRISPR-Cas adaptive immunity.","Tanner Wiegand, Florian T. Hoffmann, Samuel H. Sternberg",26-Jun-24
Article,Explainable El Niño predictability from climate mode interactions,"An extended nonlinear recharge oscillator model shows skilful and explainable El Niño–Southern Oscillation forecasts at lead times up to 16–18 months, better than global climate models and comparable to the most skilful artificial intelligence forecasts.","Sen Zhao, Fei-Fei Jin, Wenju Cai",26-Jun-24
Article,Cenozoic history of the tropical marine biodiversity hotspot,A reconstruction of Cenozoic marine biodiversity in the Indo-Australian Archipelago reveals decreasing rates of net diversification and identifies the factors that have established it as the richest marine biodiversity hotspot.,"Skye Yunshu Tian, Moriaki Yasuhara, Tomoki Kase",26-Jun-24
Article,Titanium:sapphire-on-insulator integrated lasers and amplifiers,"A photonic platform enables miniaturization and scalability of titanium:sapphire photonic technology, reducing footprint and cost by three orders of magnitude.","Joshua Yang, Kasper Van Gasse, Jelena Vučković",26-Jun-24
Article,Synaptic architecture of leg and wing premotor control networks inDrosophila,"We use connectomics to compare the wiring logic of premotor circuits controlling theDrosophilaleg and wing, finding that both premotor networks cluster into modules that link motor neurons innervating muscles with related functions.","Ellen Lesser, Anthony W. Azevedo, John C. Tuthill",26-Jun-24
Article,Buried interface molecular hybrid for inverted perovskite solar cells,High efficiency in perovskite solar cells is achieved by using a molecular hybrid of a self-assembled monolayer with nitrilotribenzoic acid.,"Sanwan Liu, Jingbai Li, Wei Chen",26-Jun-24
Article,Megastudy shows that reminders boost vaccination but adding free rides does not,"Contrary to expectations, offers of free transportation to vaccine sites did not increase COVID-19 vaccine uptake more than text message reminders, a finding that has implications for future policy decision-making to promote vaccination.","Katherine L. Milkman, Sean F. Ellis, Angela L. Duckworth",26-Jun-24
Article,Connectomic reconstruction of a femaleDrosophilaventral nerve cord,Automated reconstruction of dense neural networks in the ventral nerve cord of the fruit fly provides a resource for investigating the neural control of movement.,"Anthony Azevedo, Ellen Lesser, John C. Tuthill",26-Jun-24
